Family_ID,City_ID,City_Code,Region,Community_ID,Urban_Rural,Location_Type,Parent_Gender,Parent_Sex,Child_Gender,Child_Sex,Parent_Age,Child_Age,Parent_Education,Family_SES,Comm_Cultural_Policy,Comm_Cultural_Facility,Comm_Cultural_Activity,P_Cog1,P_Cog2,P_Cog3,P_Cog4,P_Cog5,P_Cog6,Parent_Cog_Mean,P_Aff1,P_Aff2,P_Aff3,P_Aff4,P_Aff5,Parent_Aff_Mean,P_Beh1,P_Beh2,P_Beh3,P_Beh4,P_Beh5,Parent_Beh_Mean,Parent_Identity_Overall,C_Cog1,C_Cog2,C_Cog3,C_Cog4,C_Cog5,C_Cog6,Child_Cog_Mean,C_Aff1,C_Aff2,C_Aff3,C_Aff4,C_Aff5,Child_Aff_Mean,C_Beh1,C_Beh2,C_Beh3,C_Beh4,C_Beh5,Child_Beh_Mean,Child_Identity_Overall,FSI1,FSI2,FSI3,FSI4,Family_Socialization,Parent_Cog_Mean_z,Parent_Aff_Mean_z,Parent_Beh_Mean_z,Parent_Identity_Overall_z,Child_Cog_Mean_z,Child_Aff_Mean_z,Child_Beh_Mean_z,Child_Identity_Overall_z,Family_Socialization_z,Family_SES_z,Comm_Cultural_Policy_z,Comm_Cultural_Facility_z,Comm_Cultural_Activity_z,Parent_Identity_c,Family_Socialization_c,Parent_Cog_c,Parent_Aff_c,Parent_Beh_c,Parent_X_Socialization,Urban_X_Parent,Urban_X_Socialization,Three_Way_Interaction,Child_Age_Group,Gender_Combination,Comm_Parent_Identity_Mean,Comm_Socialization_Mean,Comm_Urban_Prop,Region_Central,Region_Western
F0002,7,C1,Central,43,0,Rural,2,Female,2,Female,47,12.6,2,3.6,3.86,3.81,2.49,4,4,4,4,4,4,4.0,3,4,5,4,4,4.0,2,2,3,3,3,2.6,3.67,4,5,4,3,4,4,4.0,4,3,4,3,4,3.6,3,4,3,4,3,3.4,3.78,4,5,4,4,4.25,0.57376223233624,-0.15827490310303177,-0.27901096404693065,0.20618571237108435,0.9635376313775209,-0.14453208855886093,0.8910991575602472,0.7516387066354355,0.4231944579200692,-0.2074841298880385,-0.10146104331684848,0.10945014120585517,-1.6039598626272402,0.1529504741833505,0.5094836670179137,0.5540814892869683,-0.21018616087109265,-0.29919213206884443,0.07792576845906216,0.0,0.0,0.0,12-15,Mother-Daughter,3.569130434782609,3.510869565217391,0.43478260869565216,1,0
F0003,1,E1,Eastern,1,0,Rural,1,Male,1,Male,49,15.9,2,4.58,2.48,2.61,2.17,5,5,4,5,5,7,5.17,6,5,6,6,5,5.6,3,3,4,3,3,3.2,4.66,5,3,3,4,3,3,3.5,5,4,5,4,5,4.6,2,2,2,2,2,2.0,3.52,3,4,4,4,3.75,1.7853201436053567,1.0465610571491897,0.28051771496805755,1.5407605565306295,0.40998374556514644,0.7007490456380923,-0.5481353923237118,0.4454637863322849,0.007877456300477073,0.5766689523554354,-2.318514628666286,-1.5163127388623276,-2.152610865014394,1.1429504741833507,0.0094836670179137,1.7240814892869682,1.389813839128907,0.30080786793115566,0.010839361715121466,0.0,0.0,0.0,12-15,Father-Son,3.475909090909091,3.6363636363636362,0.4090909090909091,0,0
F0004,16,W4,Western,106,0,Rural,2,Female,2,Female,47,18.0,2,2.5,3.0,3.41,2.91,3,4,4,3,4,3,3.5,1,2,1,2,1,1.4,4,4,3,5,4,4.0,2.95,4,4,3,4,4,4,3.83,2,2,3,3,3,2.6,3,2,3,3,4,3.0,3.2,2,3,3,3,2.75,0.05600244119559184,-2.116133338512892,1.0265559536547082,-0.7644141742904025,0.7753293102013137,-0.9898132227558145,0.4798892861648304,0.06863311518994548,-0.8227565469387071,-1.0876559568960193,-1.4831031327375124,-0.4324708188168722,-0.8838554219941012,-0.5670495258166492,-0.9905163329820863,0.05408148928696832,-2.8101861608710927,1.1008078679311555,0.5616718169311383,-0.0,-0.0,0.0,16-18,Mother-Daughter,3.50375,3.625,0.5416666666666666,0,1
F0011,4,E4,Eastern,23,0,Rural,2,Female,1,Male,44,14.7,1,4.23,3.18,3.54,3.27,3,4,3,2,4,3,3.17,5,5,6,5,5,5.2,2,1,1,1,2,1.4,2.92,2,3,1,3,2,2,2.17,5,6,5,6,5,5.4,3,3,3,2,2,2.6,3.23,4,4,5,3,4.0,-0.285719020957236,0.7453520670861346,-1.398068322076907,-0.8048558362346315,-1.0624695906957697,1.3769739529956557,0.06867941476941361,0.10396099060953959,0.21553595711027312,0.2966142801256236,-1.193922230300629,-0.25634650680948595,-0.26662304430855355,-0.5970495258166495,0.2594836670179137,-0.27591851071303175,0.9898138391289075,-1.4991921320688446,-0.15492460035021074,-0.0,0.0,-0.0,12-15,Mother-Son,3.6708695652173917,3.717391304347826,0.6521739130434783,0,0
F0012,12,C6,Central,81,0,Rural,1,Male,1,Male,48,22.6,2,4.35,2.58,3.33,2.75,3,2,4,4,3,3,3.17,2,3,3,2,3,2.6,2,2,2,3,3,2.4,2.94,2,2,2,2,2,2,2.0,2,2,1,1,1,1.4,1,2,2,2,2,1.8,2.08,4,3,5,3,3.75,-0.285719020957236,-1.2125063683237256,-0.4655205237185935,-0.7778947282718124,-1.250677911871977,-2.004150583792159,-0.7537403280214202,-1.250274233808243,0.007877456300477073,0.3926330248901299,-2.1578585717569063,-0.5408550108214178,-1.1581809231876783,-0.5770495258166495,0.0094836670179137,-0.27591851071303175,-1.6101861608710926,-0.4991921320688446,-0.005472545555690099,-0.0,0.0,-0.0,19-22,Father-Son,3.0680952380952378,3.857142857142857,0.23809523809523808,1,0
F0013,15,W3,Western,99,0,Rural,2,Female,1,Male,44,18.2,3,4.17,4.43,3.47,4.21,2,2,1,2,1,1,1.5,3,5,4,4,4,4.0,3,4,3,4,4,3.6,3.04,4,3,3,3,2,3,3.0,4,4,4,4,4,4.0,2,2,2,3,1,2.0,2.79,2,3,4,3,3.0,-2.015036723367001,-0.15827490310303177,0.6535368343113829,-0.6430891884577168,-0.14357014024722803,0.1935803651199204,-0.5481353923237118,-0.4141811822111773,-0.6150980461289112,0.24860490774336966,0.8142784810666147,-0.35118267481346305,1.3450392752037101,-0.4770495258166494,-0.7405163329820863,-1.9459185107130317,-0.21018616087109265,0.7008078679311556,0.3532629655085883,-0.0,-0.0,0.0,16-18,Mother-Son,3.5144,3.74,0.44,0,1
F0018,15,W3,Western,99,0,Rural,1,Male,1,Male,46,18.5,3,4.11,4.43,3.47,4.21,3,4,4,3,4,3,3.5,2,1,2,2,2,1.8,4,4,4,4,4,4.0,3.06,4,3,3,3,3,4,3.33,3,1,2,2,2,2.0,1,1,3,1,2,1.6,2.13,4,3,4,3,3.5,0.05600244119559184,-1.8149243484498367,1.0265559536547082,-0.6161280804948978,0.2217754243889392,-1.4969819032739868,-0.9593452637191285,-1.1913944414422528,-0.199781044509319,0.20059553536111646,0.8142784810666147,-0.35118267481346305,1.3450392752037101,-0.45704952581664937,-0.2405163329820863,0.05408148928696832,-2.410186160871093,1.1008078679311555,0.1099278759406219,-0.0,-0.0,0.0,16-18,Father-Son,3.5144,3.74,0.44,0,1
F0019,8,C2,Central,53,0,Rural,2,Female,1,Male,46,14.9,1,4.95,2.95,2.41,3.09,3,1,3,2,4,3,2.67,4,5,4,5,5,4.6,1,2,2,3,2,2.0,2.94,1,1,1,2,2,1,1.33,3,3,3,2,4,3.0,1,2,2,1,1,1.4,1.59,2,2,2,1,1.75,-0.8034788120978842,0.2935385819915511,-0.8385396430619187,-0.7778947282718124,-1.9924401188605587,-0.6517007690770332,-1.1649501994168372,-1.8272961989949508,-1.6533905501778914,0.8727267487126654,-1.5634311611922018,-1.787273218873691,-0.5752392331513277,-0.5770495258166495,-1.9905163329820863,-0.7759185107130318,0.389813839128907,-0.8991921320688445,1.1486265060776089,-0.0,-0.0,0.0,12-15,Mother-Son,3.6231578947368424,3.8026315789473686,0.5789473684210527,1,0
F0027,6,E6,Eastern,37,0,Rural,1,Male,1,Male,52,20.8,4,3.63,3.39,3.05,2.85,3,2,2,1,2,2,2.0,6,6,6,5,7,6.0,1,2,3,2,1,1.8,3.38,2,2,3,1,2,2,2.0,4,4,5,5,5,4.6,3,3,3,3,4,3.2,3.47,5,5,5,6,5.25,-1.4972769322263526,1.3477700472122454,-1.0250492027335814,-0.1847503530897925,-1.250677911871977,0.7007490456380923,0.685494221862539,0.3865839939662945,1.2538284611592534,-0.1834794436969119,-0.856544510790932,-0.9201996828373274,-0.9867274849416925,-0.13704952581664953,1.5094836670179137,-1.4459185107130317,1.7898138391289073,-1.0991921320688445,-0.20687402079278236,-0.0,0.0,-0.0,19-22,Father-Son,3.7880000000000003,3.86,0.6,0,0
F0028,9,C3,Central,62,0,Rural,2,Female,2,Female,49,14.3,2,4.69,3.76,3.41,3.26,2,3,3,4,2,3,2.83,4,4,4,4,4,4.0,3,1,2,1,2,1.8,3.02,3,3,3,4,4,4,3.5,3,4,4,4,2,3.4,2,2,2,2,2,2.0,3.12,3,4,3,3,3.25,-0.6377956789328766,-0.15827490310303177,-1.0250492027335814,-0.6700502964205359,0.40998374556514644,-0.3135883153982518,-0.5481353923237118,-0.025574552595639496,-0.4074395453191151,0.6646861350562338,-0.2621171002262282,-0.4324708188168722,-0.28376838813315247,-0.4970495258166494,-0.4905163329820863,-0.6159185107130316,-0.21018616087109265,-1.0991921320688445,0.2438109107140677,-0.0,-0.0,0.0,12-15,Mother-Daughter,3.4633333333333334,3.6944444444444446,0.5,1,0
