Variable,Type,Non_Missing,Mean,SD
Family_ID,object,2847,,
City_ID,int64,2847,9.455216016859852,5.1657706338060185
City_Code,object,2847,,
Region,object,2847,,
Community_ID,int64,2847,63.18686336494556,36.244361708942165
Urban_Rural,int64,2847,0.5426765015806112,0.49826290134206697
Location_Type,object,2847,,
Parent_Gender,int64,2847,1.5767474534597823,0.49416151341630865
Parent_Sex,object,2847,,
Child_Gender,int64,2847,1.5177379697927642,0.4997730449515132
Child_Sex,object,2847,,
Parent_Age,int64,2847,44.93256059009484,4.515027287863715
Child_Age,float64,2847,17.570741131015104,3.355808713402246
Parent_Education,int64,2847,3.3997190024587285,1.2344777312164357
Family_SES,float64,2847,3.8593045310853524,1.2499755195032967
Comm_Cultural_Policy,float64,2847,3.9231541974007733,0.6225570880943545
Comm_Cultural_Facility,float64,2847,3.7292132068844395,0.738244684022036
Comm_Cultural_Activity,float64,2847,3.4255075518089217,0.583351188505933
P_Cog1,int64,2847,3.4299262381454163,1.1196466734665818
P_Cog2,int64,2847,3.4383561643835616,1.0828198246293983
P_Cog3,int64,2847,3.4594309799789253,1.1329512140130524
P_Cog4,int64,2847,3.4481910783280645,1.108662021167717
P_Cog5,int64,2847,3.449244819107833,1.1300557322373228
P_Cog6,int64,2847,3.4506498068141904,1.133532885176702
Parent_Cog_Mean,float64,2847,3.4459185107130317,0.9658684266876056
P_Aff1,int64,2847,4.21390937829294,1.443078956894808
P_Aff2,int64,2847,4.1981032665964175,1.433004911776247
P_Aff3,int64,2847,4.211099402880225,1.4280752418201617
P_Aff4,int64,2847,4.206533192834563,1.435734889923557
P_Aff5,int64,2847,4.221285563751318,1.4372063964071904
Parent_Aff_Mean,float64,2847,4.210186160871093,1.3282148976135997
P_Beh1,int64,2847,2.918510713031261,1.196900201880616
P_Beh2,int64,2847,2.8984896382156657,1.206923035424348
P_Beh3,int64,2847,2.9030558482613276,1.191921067303411
P_Beh4,int64,2847,2.8883034773445733,1.1959289849161634
P_Beh5,int64,2847,2.8876009834913945,1.2011402866882066
Parent_Beh_Mean,float64,2847,2.8991921320688445,1.0725194692464912
Parent_Identity_Overall,float64,2847,3.5170495258166494,0.7419395902583393
C_Cog1,int64,2847,3.1338250790305584,1.0666497166462656
C_Cog2,int64,2847,3.143308746048472,1.0583021897412106
C_Cog3,int64,2847,3.1394450298559886,1.0459640875786687
C_Cog4,int64,2847,3.1239901650860555,1.0609055307754856
C_Cog5,int64,2847,3.1152089919213206,1.0702997804566765
C_Cog6,int64,2847,3.1222339304531084,1.0718172404092414
Child_Cog_Mean,float64,2847,3.129680365296804,0.9034131051888677
C_Aff1,int64,2847,3.776255707762557,1.3052242298461034
C_Aff2,int64,2847,3.7766069546891465,1.2984019075063495
C_Aff3,int64,2847,3.7741482262030206,1.3150538346395522
C_Aff4,int64,2847,3.778714436248683,1.2911654639854844
C_Aff5,int64,2847,3.749209694415174,1.305555420102376
Child_Aff_Mean,float64,2847,3.7709870038637163,1.1832461760695085
C_Beh1,int64,2847,2.535651563048823,1.1111982488561203
C_Beh2,int64,2847,2.5286266245170355,1.127721496226151
C_Beh3,int64,2847,2.5275728837372675,1.1009459818873726
C_Beh4,int64,2847,2.5395152792413067,1.1180032728128089
C_Beh5,int64,2847,2.5345978222690553,1.0924165406476454
Child_Beh_Mean,float64,2847,2.5331928345626977,0.9729101748926446
Child_Identity_Overall,float64,2847,3.1417175974710227,0.849336953776311
FSI1,int64,2847,3.7442922374429224,1.3214598218399727
FSI2,int64,2847,3.733052335792062,1.3114876747467503
FSI3,int64,2847,3.724271162627327,1.3028096648092797
FSI4,int64,2847,3.7604495960660342,1.330836846785033
Family_Socialization,float64,2847,3.7405163329820863,1.2041111558663675
Parent_Cog_Mean_z,float64,2847,-4.267748781699232e-16,1.0001756697422424
Parent_Aff_Mean_z,float64,2847,-2.083959200420385e-16,1.0001756697422424
Parent_Beh_Mean_z,float64,2847,-9.483886181553849e-17,1.0001756697422424
Parent_Identity_Overall_z,float64,2847,-4.2864669781101933e-16,1.0001756697422424
Child_Cog_Mean_z,float64,2847,-3.157135794648847e-16,1.0001756697422424
Child_Aff_Mean_z,float64,2847,-1.107493287648558e-16,1.0001756697422424
Child_Beh_Mean_z,float64,2847,-1.3976253320184618e-16,1.0001756697422424
Child_Identity_Overall_z,float64,2847,-7.399926981133464e-16,1.0001756697422424
Family_Socialization_z,float64,2847,8.735158325115387e-17,1.0001756697422424
Family_SES_z,float64,2847,4.579718721881925e-16,1.0001756697422424
Comm_Cultural_Policy_z,float64,2847,-8.928579688028656e-16,1.0001756697422424
Comm_Cultural_Facility_z,float64,2847,4.093045615196924e-16,1.0001756697422424
Comm_Cultural_Activity_z,float64,2847,-1.435061724840385e-16,1.0001756697422424
Parent_Identity_c,float64,2847,-3.200811586274424e-16,0.7419395902583393
Family_Socialization_c,float64,2847,1.3664283380001927e-16,1.2041111558663675
Parent_Cog_c,float64,2847,-4.1554396032334627e-16,0.9658684266876056
Parent_Aff_c,float64,2847,-2.7952506640369237e-16,1.3282148976135997
Parent_Beh_c,float64,2847,-1.1605281774796156e-16,1.0725194692464912
Parent_X_Socialization,float64,2847,0.1892352782567789,0.8754137893502629
