Community_ID,N,Transmission_r,Urban_Prop,Policy_Level
94,16,0.807,0.81,3.58
43,23,0.622,0.43,4.16
1,22,0.411,0.41,2.77
106,24,0.459,0.54,3.38
64,16,0.486,0.81,4.81
12,25,0.635,0.6,3.47
44,19,0.716,0.53,3.43
98,26,0.636,0.46,3.9
63,15,0.667,0.6,4.7
23,23,0.457,0.65,3.64
81,21,0.689,0.24,2.75
99,25,0.541,0.44,4.74
103,27,0.6,0.67,4.76
82,25,0.657,0.6,3.44
31,17,0.467,0.76,3.54
53,19,0.61,0.58,3.36
48,19,0.376,0.68,3.41
52,20,0.435,0.5,3.69
111,26,0.402,0.77,3.62
7,33,0.435,0.58,3.96
91,25,0.51,0.64,3.16
107,21,0.575,0.52,3.96
110,30,0.631,0.53,4.25
37,25,0.641,0.6,3.81
62,18,0.687,0.5,4.11
90,26,0.461,0.38,3.29
57,23,0.611,0.57,3.74
60,24,0.657,0.29,3.75
67,25,0.54,0.72,2.97
3,21,0.466,0.52,4.27
22,31,0.51,0.45,3.74
42,33,0.749,0.58,3.58
112,18,0.666,0.33,3.84
80,32,0.746,0.53,4.46
19,22,0.766,0.59,4.66
100,27,0.74,0.63,3.84
88,24,0.551,0.58,4.14
71,23,0.636,0.61,4.39
45,22,0.581,0.45,3.29
77,24,0.732,0.75,4.32
66,27,0.647,0.44,4.6
47,25,0.61,0.56,4.11
116,29,0.711,0.59,4.49
18,24,0.58,0.71,4.55
2,20,0.47,0.55,4.14
121,22,0.784,0.59,4.15
9,27,0.45,0.59,4.67
34,16,0.701,0.38,3.39
49,26,0.552,0.42,3.57
46,25,0.451,0.44,3.32
11,20,0.57,0.5,3.12
84,22,0.503,0.45,3.78
33,29,0.708,0.62,3.41
56,30,0.426,0.47,4.04
120,24,0.741,0.42,3.43
55,23,0.6,0.52,3.2
72,25,0.728,0.64,4.62
50,33,0.544,0.55,4.54
115,24,0.495,0.67,3.77
17,16,0.688,0.69,3.5
40,21,0.71,0.33,4.06
24,26,0.737,0.42,3.92
35,27,0.666,0.44,3.83
26,17,0.479,0.65,5.25
85,23,0.394,0.52,4.06
86,27,0.741,0.44,2.99
68,25,0.528,0.56,3.77
122,19,0.7,0.68,4.19
16,27,0.572,0.48,3.19
54,13,0.837,0.62,4.14
8,26,0.673,0.65,3.64
75,19,0.558,0.74,4.14
30,25,0.58,0.76,4.09
93,22,0.522,0.41,4.18
83,30,0.66,0.67,4.28
25,23,0.618,0.26,4.73
109,20,0.612,0.55,4.11
65,19,0.467,0.68,3.81
10,29,0.642,0.62,3.81
123,13,0.752,0.46,3.85
76,25,0.539,0.64,4.13
59,25,0.689,0.56,3.55
124,18,0.712,0.5,4.67
32,25,0.516,0.56,3.86
114,22,0.405,0.59,4.83
97,26,0.657,0.62,2.96
58,30,0.685,0.43,3.34
96,20,0.768,0.5,3.17
70,24,0.389,0.54,4.14
78,19,0.386,0.37,4.11
105,27,0.428,0.56,4.34
74,17,0.645,0.71,3.49
5,22,0.757,0.64,4.12
27,19,0.665,0.63,3.5
89,27,0.44,0.63,3.45
92,27,0.509,0.56,4.74
28,20,0.636,0.7,5.12
61,24,0.52,0.38,3.81
113,22,0.487,0.68,3.98
102,13,0.618,0.46,3.44
15,24,0.475,0.42,4.97
117,17,0.728,0.65,4.11
21,28,0.654,0.61,4.42
4,23,0.596,0.39,3.64
69,23,0.573,0.57,4.7
118,28,0.776,0.36,3.27
126,23,0.642,0.57,4.73
13,13,0.536,0.23,4.19
29,20,0.414,0.4,3.6
14,19,0.385,0.53,4.37
73,26,0.605,0.54,3.42
38,19,0.761,0.42,3.65
104,16,0.467,0.81,4.56
125,25,0.535,0.4,3.62
101,24,0.696,0.54,4.47
39,16,0.688,0.56,3.59
51,21,0.546,0.43,3.69
95,22,0.619,0.45,4.54
108,20,0.433,0.5,3.71
41,22,0.456,0.55,3.59
36,23,0.609,0.48,4.06
119,17,0.812,0.53,3.74
20,18,0.723,0.5,3.52
6,18,0.278,0.56,4.17
