Item,Mean,SD,Item_Total_Corr,Alpha_If_Deleted,Scale
P_Cog1,3.43,1.12,0.804,0.919,Parent Cognitive Identity
P_Cog2,3.44,1.08,0.79,0.921,Parent Cognitive Identity
P_Cog3,3.46,1.13,0.804,0.919,Parent Cognitive Identity
P_Cog4,3.45,1.11,0.8,0.92,Parent Cognitive Identity
P_Cog5,3.45,1.13,0.797,0.92,Parent Cognitive Identity
P_Cog6,3.45,1.13,0.804,0.919,Parent Cognitive Identity
P_Aff1,4.21,1.44,0.884,0.948,Parent Affective Identity
P_Aff2,4.2,1.43,0.88,0.948,Parent Affective Identity
P_Aff3,4.21,1.43,0.875,0.949,Parent Affective Identity
P_Aff4,4.21,1.44,0.884,0.948,Parent Affective Identity
P_Aff5,4.22,1.44,0.885,0.947,Parent Affective Identity
P_Beh1,2.92,1.2,0.835,0.923,Parent Behavioral Identity
P_Beh2,2.9,1.21,0.834,0.923,Parent Behavioral Identity
P_Beh3,2.9,1.19,0.834,0.923,Parent Behavioral Identity
P_Beh4,2.89,1.2,0.827,0.925,Parent Behavioral Identity
P_Beh5,2.89,1.2,0.834,0.923,Parent Behavioral Identity
C_Cog1,3.13,1.07,0.781,0.909,Child Cognitive Identity
C_Cog2,3.14,1.06,0.775,0.91,Child Cognitive Identity
C_Cog3,3.14,1.05,0.775,0.91,Child Cognitive Identity
C_Cog4,3.12,1.06,0.773,0.91,Child Cognitive Identity
C_Cog5,3.12,1.07,0.784,0.909,Child Cognitive Identity
C_Cog6,3.12,1.07,0.787,0.908,Child Cognitive Identity
C_Aff1,3.78,1.31,0.856,0.934,Child Affective Identity
C_Aff2,3.78,1.3,0.853,0.934,Child Affective Identity
C_Aff3,3.77,1.32,0.855,0.934,Child Affective Identity
C_Aff4,3.78,1.29,0.854,0.934,Child Affective Identity
C_Aff5,3.75,1.31,0.852,0.935,Child Affective Identity
C_Beh1,2.54,1.11,0.805,0.907,Child Behavioral Identity
C_Beh2,2.53,1.13,0.803,0.907,Child Behavioral Identity
C_Beh3,2.53,1.1,0.804,0.907,Child Behavioral Identity
C_Beh4,2.54,1.12,0.804,0.907,Child Behavioral Identity
C_Beh5,2.53,1.09,0.797,0.908,Child Behavioral Identity
FSI1,3.74,1.32,0.844,0.915,Family Socialization Investment
FSI2,3.73,1.31,0.844,0.915,Family Socialization Investment
FSI3,3.72,1.3,0.848,0.914,Family Socialization Investment
FSI4,3.76,1.33,0.846,0.915,Family Socialization Investment
